geography_code,gross_acres,illit,unemployed_pct,ho_pct,agecat1,agecat2,agecat3,agecat4,agecat5,agecat6,agecat7,influenza
G17003100262,480.0,210,0.357782871,0.090366048,293,1565,1199,1576,1317,6114,2325,47
G17003100263,238.5,1366,0.375653217,0.036580142,423,2512,1917,2665,2454,9792,3541,57
G17003100264,80.0,479,0.371713409,0.036042945,144,948,784,1144,1064,3559,1481,32
G17003100265,40.0,263,0.402476108,0.027584709,76,431,448,684,520,1693,749,9
G17003100266,113.9,394,0.361182519,0.051413882,95,522,422,598,427,1802,797,12
G17003100267,215.1,402,0.366694115,0.062646481,274,1429,1208,1736,1709,6504,2912,31
G17003100268,39.9,103,0.370603015,0.027889447,78,369,348,537,410,1621,616,13
G17003100269,40.0,18,0.364885496,0.07735369,20,171,140,201,176,847,410,10
G17003100270,159.3,97,0.369384673,0.050207626,123,572,400,548,462,2199,987,24
G17003100271,118.1,241,0.324440117,0.060759494,115,720,516,546,423,2102,708,20
G17003100272,476.8,143,0.360677083,0.102864583,275,1604,1282,1871,1405,5841,2307,42
G17003100273,158.3,39,0.367004852,0.102484929,105,570,474,686,641,3044,1278,11
G17003100274,101.9,36,0.377308707,0.081949402,103,528,482,673,674,2759,1220,7
G17003100275,80.0,273,0.361013371,0.075299085,115,674,517,656,531,2400,788,11
G17003100276,80.0,976,0.351445534,0.062080537,215,1203,808,952,620,3081,866,12
G17003100277,79.9,264,0.332605676,0.06509228,190,835,520,559,375,1992,566,16
G17003100278,80.0,341,0.300980898,0.060230597,157,925,603,612,442,2346,724,21
G17003100279,163.7,235,0.363766218,0.112486609,155,845,777,1058,874,3478,1214,20
G17003100280,80.0,62,0.373460246,0.103210153,121,624,534,672,512,2158,735,11
G17003100281,118.7,277,0.33122401,0.091845959,109,727,543,716,536,2165,731,22
G17003100282,293.5,97,0.142330383,0.044247788,15,70,67,74,198,758,173,20
G17003100283,760.0,143,0.373134328,0.131529851,53,354,363,502,330,1207,404,13
G17003100284,120.0,1442,0.316636852,0.04566425,338,1817,1158,1232,698,4192,1177,42
G17003100285,120.0,621,0.318677422,0.047779452,419,1870,1190,1263,818,4370,1335,82
G17003100286,80.0,703,0.31260274,0.035890411,338,1780,1112,1270,803,4333,1306,53
G17003100287,50.5,138,0.322531646,0.035443038,101,516,363,468,313,1607,580,10
G17003100288,258.9,343,0.335975305,0.035207742,221,1496,1117,1324,875,5069,1877,43
G17003100289,80.5,293,0.333838619,0.043376866,219,1149,878,1034,618,3472,1204,25
G17003100290,75.6,212,0.299104217,0.035612847,99,589,461,488,337,1882,720,27
G17003100291,72.5,872,0.303095238,0.041071429,161,1085,842,921,503,3600,1278,16
G17003100292,157.2,172,0.35235378,0.045649073,44,292,218,234,144,844,325,16
G17003100293,40.0,17,0.345238095,0.053571429,4,23,18,26,16,59,22,0
G17003100294,40.0,70,0.300925926,0.03587963,21,182,101,86,33,371,70,2
G17003100295,97.5,806,0.302688172,0.055107527,174,1011,697,756,527,3283,981,39
G17003100296,340.0,356,0.294216969,0.053609118,121,717,501,542,345,1870,640,26
G17003100297,38.1,4,0.461538462,0.0,0,3,1,4,0,8,10,0
G17003100298,323.6,14,0.057799876,0.002486016,1,3,5,5,83,1036,475,15
G17003100299,251.1,232,0.099373864,0.000201979,30,150,142,193,219,2448,1769,16
G17003100300,154.5,415,0.103799392,0.00106383,19,100,82,136,423,3469,2331,19
G17003100301,135.5,84,0.219861922,0.001593202,16,82,56,83,108,977,485,7
G17003100302,161.8,450,0.263235294,0.006470588,39,227,222,263,257,1633,736,10
G17003100303,130.1,77,0.24059633,0.00940367,29,147,111,179,235,2450,1180,12
G17003100304,112.2,168,0.303131724,0.001434377,48,239,190,288,278,2221,885,23
G17003100305,71.2,81,0.26606792,0.011507157,44,209,149,175,243,1867,852,9
G17003100306,135.1,78,0.343913803,0.103377985,71,417,291,420,299,1359,573,17
G17003100307,218.1,77,0.340581318,0.077878855,98,506,368,521,415,1733,864,24
G17003100308,90.4,21,0.336990596,0.072100313,15,65,63,73,61,236,125,8
G17003100309,155.0,14,0.372062084,0.091796009,37,224,144,256,196,918,480,3
