"Obec / Kandidát (2023-2)";"Petr Pavel";"Andrej Babiš"
"Politická příslušnost";"BEZPP";"ANO"
"Červené Pečky";64,35;35,64
"Červené Poříčí";51,87;48,12
"Červenka";53,31;46,68
"Červený Hrádek";46,82;53,17
"Červený Kostelec";69,12;30,87
"Červený Újezd (Benešov, 529532)";59,5;40,5
"Červený Újezd (Praha-západ, 532215)";72,14;27,85
"Česká";71,26;28,73
"Česká Bělá";61,22;38,77
"Česká Bříza";64,24;35,75
"Česká Čermná";84,84;15,15
"Česká Kamenice";41,67;58,32
"Česká Kubice";53,38;46,61
"Česká Lípa";49,9;50,09
"Česká Metuje";43,45;56,54
"Česká Rybná";53,46;46,53
"Česká Skalice";57,02;42,97
"Česká Třebová";55,28;44,71
"Česká Ves";44,29;55,7
"České Budějovice";63,32;36,67
"České Heřmanice";60,16;39,83
"České Lhotice";45,2;54,79
"České Libchavy";60,74;39,25
"České Meziříčí";56,07;43,92
"České Petrovice";73,13;26,86
"České Velenice";50,44;49,55
"Český Brod";69,05;30,94
"Český Dub";62,04;37,95
"Český Jiřetín";55,42;44,57
"Český Krumlov";60,71;39,28
"Český Rudolec";49,33;50,66
"Český Šternberk";65;35
"Český Těšín";48,29;51,7
"Čestice (Rychnov nad Kněžnou, 576221)";58,52;41,47
"Čestice (Strakonice, 550957)";55,55;44,44
"Čestín";56,16;43,83
"Čestlice";67,71;32,28
"Češov";38,62;61,37
"Číčenice";43,03;56,96
"Číčovice";71,02;28,97
"Číhalín";64,66;35,33
"Číhaň";54,78;45,21
"Číhošť";41,66;58,33
"Čichalov";20;80
"Číchov";44,6;55,39
"Čikov";57,72;42,27
"Čilá";84,61;15,38
"Čilec";61,06;38,93
"Čím";67,27;32,72
"Čimelice";54,7;45,29
"Číměř (Jindřichův Hradec, 546101)";46,96;53,03
"Číměř (Třebíč, 590509)";60,14;39,85
"Čímice";33,67;66,32
"Činěves";47,02;52,97
"Čisovice";72,1;27,89
"Čistá (Mladá Boleslav, 535630)";58,84;41,15
"Čistá (Rakovník, 541699)";49,24;50,75
"Čistá (Svitavy, 577944)";59,25;40,74
"Čistá u Horek";57,91;42,08
"Čistěves";75,49;24,5
"Čižice";61,45;38,54
"Čížkov (Pelhřimov, 598704)";46,66;53,33
"Čížkov (Plzeň-jih, 557650)";51,19;48,8
"Čížkovice";38,51;61,48
"Čížkrajice";51,06;48,93
"Čížov";58,42;41,57
"Čížová";59,68;40,31
"Čkyně";57,8;42,19
"Člunek";41,56;58,43
